epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.2763,1.27405,2.96233,1.31825,0.52436,0.50462,0.49285,0.32354,1.2893,1.91324,1.23288,0.000275547,0.000275547,0.000275547
2,45.5057,1.25807,1.89662,1.32006,0.5066,0.53627,0.55043,0.35395,1.27382,1.77149,1.24865,0.000549563,0.000549563,0.000549563
3,64.7717,1.2719,1.77523,1.32618,0.54971,0.5646,0.57987,0.36445,1.28728,1.87075,1.28751,0.000819913,0.000819913,0.000819913
4,81.4789,1.25072,1.73068,1.31765,0.53641,0.49643,0.53009,0.32362,1.46018,1.78134,1.3365,0.000816507,0.000816507,0.000816507
5,97.5658,1.2438,1.62597,1.30752,0.64326,0.62727,0.62907,0.40454,1.26453,1.46766,1.24754,0.000811009,0.000811009,0.000811009
6,112.971,1.19624,1.54947,1.28674,0.67104,0.61271,0.64846,0.42042,1.2422,1.37518,1.24777,0.000805511,0.000805511,0.000805511
7,128.731,1.17619,1.50563,1.2704,0.64364,0.67409,0.71446,0.468,1.2428,1.25497,1.23523,0.000800013,0.000800013,0.000800013
8,144.488,1.17457,1.42501,1.27007,0.76585,0.64451,0.73294,0.49408,1.19788,1.1957,1.21476,0.000794515,0.000794515,0.000794515
9,160.888,1.14419,1.36262,1.24977,0.75113,0.62464,0.68317,0.45824,1.21659,1.28562,1.21916,0.000789018,0.000789018,0.000789018
10,176.634,1.14242,1.33922,1.25008,0.76059,0.65789,0.74324,0.48938,1.23218,1.19524,1.24621,0.00078352,0.00078352,0.00078352
11,193.026,1.12287,1.31894,1.24591,0.72216,0.632,0.70653,0.48004,1.16432,1.16561,1.19593,0.000778022,0.000778022,0.000778022
12,209.731,1.125,1.26626,1.23501,0.7413,0.68088,0.70367,0.47613,1.20998,1.21219,1.24711,0.000772524,0.000772524,0.000772524
13,225.283,1.08911,1.2393,1.22864,0.76292,0.65699,0.74914,0.50542,1.18845,1.22946,1.21629,0.000767026,0.000767026,0.000767026
14,241.782,1.09618,1.22061,1.22813,0.76617,0.64424,0.72052,0.47964,1.20188,1.22154,1.23155,0.000761529,0.000761529,0.000761529
15,259.662,1.06776,1.18452,1.21464,0.71356,0.64961,0.66456,0.44555,1.2266,1.38012,1.24894,0.000756031,0.000756031,0.000756031
16,275.912,1.07793,1.16348,1.22308,0.76773,0.67581,0.75587,0.50281,1.15918,1.10491,1.18282,0.000750533,0.000750533,0.000750533
17,292.057,1.05451,1.14293,1.20994,0.78325,0.69564,0.77026,0.51067,1.16942,1.13494,1.20888,0.000745035,0.000745035,0.000745035
18,309.405,1.07233,1.14654,1.21489,0.81105,0.66277,0.77814,0.53334,1.13771,1.05901,1.1918,0.000739537,0.000739537,0.000739537
19,326.816,1.05476,1.10847,1.2024,0.80172,0.72259,0.78725,0.54227,1.13853,1.05595,1.17518,0.00073404,0.00073404,0.00073404
20,343.562,1.05661,1.08552,1.20384,0.81981,0.67353,0.78563,0.53041,1.1432,1.02016,1.17993,0.000728542,0.000728542,0.000728542
21,360.952,1.04987,1.07781,1.20586,0.78483,0.68532,0.75822,0.50311,1.16023,1.10485,1.21316,0.000723044,0.000723044,0.000723044
22,377.762,1.03309,1.05644,1.19825,0.79934,0.69398,0.77446,0.52026,1.16485,1.06061,1.20323,0.000717546,0.000717546,0.000717546
23,394.701,1.03116,1.04141,1.1897,0.78236,0.728,0.7835,0.51635,1.19358,1.04448,1.20542,0.000712048,0.000712048,0.000712048
24,411.564,1.02164,1.0456,1.19523,0.80583,0.64382,0.74109,0.49752,1.17808,1.23684,1.21373,0.000706551,0.000706551,0.000706551
25,429.896,1.01402,1.0321,1.18959,0.77314,0.71792,0.76464,0.52478,1.12555,1.01218,1.1837,0.000701053,0.000701053,0.000701053
26,447.023,0.99868,1.00969,1.18015,0.75181,0.70747,0.74283,0.49705,1.19014,1.10654,1.22746,0.000695555,0.000695555,0.000695555
27,464.231,1.00696,1.00233,1.18038,0.83857,0.71273,0.79733,0.55017,1.1412,0.98398,1.18712,0.000690057,0.000690057,0.000690057
28,482.585,0.98591,0.9702,1.17096,0.79581,0.70902,0.77952,0.54964,1.11158,1.02836,1.16249,0.000684559,0.000684559,0.000684559
29,500.228,0.99005,0.97563,1.17512,0.8873,0.73597,0.8303,0.56278,1.11552,0.89158,1.16199,0.000679062,0.000679062,0.000679062
30,517.178,0.97903,0.95107,1.17003,0.80073,0.74167,0.79289,0.55157,1.13627,0.95505,1.19496,0.000673564,0.000673564,0.000673564
31,533.948,0.9684,0.95617,1.16441,0.77558,0.71738,0.77671,0.52427,1.14243,1.02774,1.19752,0.000668066,0.000668066,0.000668066
32,551.232,0.96602,0.93042,1.16332,0.82246,0.74114,0.82353,0.57352,1.09611,0.88074,1.16138,0.000662568,0.000662568,0.000662568
33,568.289,0.97911,0.95028,1.16544,0.84802,0.72059,0.81255,0.57049,1.1083,0.91362,1.16878,0.00065707,0.00065707,0.00065707
34,585.116,0.98474,0.93913,1.16668,0.81015,0.73998,0.79802,0.55719,1.14239,0.93247,1.19724,0.000651573,0.000651573,0.000651573
35,602.074,0.96699,0.92788,1.15696,0.83471,0.70614,0.78978,0.54851,1.11165,0.88978,1.17787,0.000646075,0.000646075,0.000646075
36,619.058,0.95993,0.92838,1.15936,0.79159,0.71249,0.77272,0.53543,1.10628,0.95258,1.15922,0.000640577,0.000640577,0.000640577
37,636.384,0.95825,0.92315,1.16195,0.77789,0.73858,0.78186,0.54926,1.14196,0.94646,1.1979,0.000635079,0.000635079,0.000635079
38,653.028,0.9528,0.90649,1.15585,0.76711,0.77999,0.79624,0.56235,1.12227,0.98834,1.18973,0.000629581,0.000629581,0.000629581
39,670.342,0.953,0.89305,1.15817,0.83171,0.7303,0.80498,0.55902,1.10116,0.89655,1.15796,0.000624084,0.000624084,0.000624084
40,687.917,0.94048,0.88563,1.1505,0.85084,0.72207,0.81681,0.56471,1.11979,0.87234,1.19257,0.000618586,0.000618586,0.000618586
41,704.392,0.94228,0.86492,1.14482,0.79943,0.77053,0.81793,0.58549,1.07059,0.85532,1.14099,0.000613088,0.000613088,0.000613088
42,720.647,0.94127,0.87447,1.14434,0.77267,0.76476,0.78515,0.55762,1.06174,0.91862,1.15638,0.00060759,0.00060759,0.00060759
43,736.944,0.94615,0.86446,1.14905,0.78608,0.71519,0.78928,0.55729,1.1006,0.99401,1.18405,0.000602092,0.000602092,0.000602092
44,753.23,0.92109,0.85075,1.14039,0.82436,0.74795,0.81382,0.56453,1.10718,0.82881,1.17524,0.000596595,0.000596595,0.000596595
45,769.272,0.91774,0.84475,1.13738,0.82703,0.70767,0.78814,0.55121,1.096,0.9499,1.18923,0.000591097,0.000591097,0.000591097
46,785.143,0.92702,0.83038,1.13601,0.80514,0.72722,0.7952,0.55339,1.09724,0.92552,1.16147,0.000585599,0.000585599,0.000585599
47,801.155,0.92627,0.85139,1.13555,0.83179,0.74161,0.80271,0.56461,1.08344,0.87898,1.17588,0.000580101,0.000580101,0.000580101
48,817.345,0.92238,0.83111,1.13753,0.76221,0.73782,0.78775,0.55134,1.11529,0.93853,1.18837,0.000574603,0.000574603,0.000574603
49,832.974,0.9136,0.83346,1.13668,0.85034,0.71207,0.82122,0.57686,1.10153,0.87305,1.17474,0.000569106,0.000569106,0.000569106
50,848.775,0.90992,0.83327,1.13406,0.86871,0.72037,0.8212,0.57277,1.08086,0.81758,1.15866,0.000563608,0.000563608,0.000563608
51,864.847,0.898,0.81653,1.12418,0.77568,0.75545,0.79415,0.55937,1.08081,0.94369,1.15143,0.00055811,0.00055811,0.00055811
52,882.443,0.90205,0.80571,1.12188,0.86165,0.72624,0.82717,0.56911,1.07537,0.81838,1.16102,0.000552612,0.000552612,0.000552612
53,898.595,0.89599,0.80754,1.12585,0.83944,0.748,0.8304,0.58119,1.07026,0.84681,1.15176,0.000547114,0.000547114,0.000547114
54,915.043,0.91446,0.80738,1.13095,0.8604,0.73253,0.82523,0.58177,1.0777,0.78932,1.15224,0.000541617,0.000541617,0.000541617
