                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.323,                 3.4919,                  1.394,                0.20643,                0.36217,                0.21002,                0.11528,                 1.3885,                 2.4686,                 1.3452,              0.0033183,              0.0033183,              0.0033183
                      2,                 1.3543,                 2.2647,                 1.4284,                0.42221,                0.36694,                0.34632,                 0.1896,                 1.4453,                 2.0827,                   1.38,              0.0066077,              0.0066077,              0.0066077
                      3,                 1.3671,                  2.068,                 1.4362,                0.34437,                0.27844,                0.25664,                0.12841,                 1.6112,                 2.6686,                  1.501,              0.0098531,              0.0098531,              0.0098531
                      4,                  1.424,                  2.136,                 1.4601,                0.38107,                0.29806,                0.27737,                0.13341,                 1.7621,                 2.5278,                 1.6506,               0.009802,               0.009802,               0.009802
                      5,                 1.3954,                 2.0422,                 1.4366,                0.28131,                0.29345,                0.19147,                 0.0902,                 1.7862,                 2.9178,                 1.7444,               0.009736,               0.009736,               0.009736
                      6,                 1.3583,                 1.9632,                 1.4141,                0.43392,                0.36102,                0.31967,                0.16149,                 1.5853,                 2.4423,                 1.4459,                0.00967,                0.00967,                0.00967
                      7,                 1.3378,                 1.8883,                 1.4014,                0.47988,                0.30351,                0.30229,                0.16686,                 1.5374,                 2.8657,                 1.4032,               0.009604,               0.009604,               0.009604
                      8,                  1.304,                 1.8211,                 1.3829,                0.51223,                 0.3499,                0.37994,                0.21775,                 1.5627,                 2.2136,                 1.4133,               0.009538,               0.009538,               0.009538
                      9,                 1.2987,                 1.7649,                 1.3672,                0.56969,                0.47859,                0.49528,                0.28619,                 1.4728,                 1.8487,                 1.3888,               0.009472,               0.009472,               0.009472
                     10,                 1.2812,                 1.7341,                 1.3676,                0.57996,                0.51239,                0.53456,                0.31868,                 1.3858,                 1.7372,                 1.3519,               0.009406,               0.009406,               0.009406
                     11,                 1.2653,                 1.6836,                 1.3567,                0.58423,                0.52669,                0.55281,                0.34198,                 1.3399,                 1.6452,                 1.2912,                0.00934,                0.00934,                0.00934
                     12,                 1.2517,                 1.6613,                 1.3482,                0.61665,                0.43712,                0.50149,                0.29537,                 1.5092,                 1.7911,                 1.3827,               0.009274,               0.009274,               0.009274
                     13,                 1.2461,                  1.618,                 1.3445,                0.62522,                0.53303,                0.56958,                0.35196,                 1.3581,                 1.5974,                 1.3051,               0.009208,               0.009208,               0.009208
                     14,                  1.233,                 1.5972,                 1.3402,                0.67931,                0.55998,                0.62405,                0.37933,                 1.3474,                 1.3869,                 1.2846,               0.009142,               0.009142,               0.009142
